,Unnamed: 0,index,題名,作者/創建者,所屬期刊,主題,識別號,叢書,學位論文,類型,摘要,內容,其他題名,相關題名,版本,出版者,建立日期,附註,得獎註,適用對象/影視分級,語文註,格式,刊期,醫學主題,政府出版品主題,合訂,課程資訊,架號,權利聲明,資源來源,永久連結,borrowable,id
0,0,0,Python入門 ,"Lutz, Mark, 著 identifier Ascher, David, 著 identifier 陳建勳, 譯 ",,Python(電腦程式語言),ISBN : 9578247354,,,,,,,complete edition : 另一譯名: Python學習手冊 ,初版,台北市 : 歐萊禮發行 ; 臺南市 : 聯寶總經銷,1999,本書譯自: Learning Pythonidentifier 作者號取自譯者(CT),,,,450面 : 圖 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990008491270206772,1,0
1,1,1,Head first Python ,"Barry, Paul, 1966- ",,Python (Computer program language),ISBN : 9781449382674 (pbk.) :identifier ISBN : 1449382673 (pbk.)identifier OCLC : (OCoLC)635468686identifier OCLC : UST(194082),,,,"A guide to the programming language describes how to build Python-enabled Web servers and applications, write mobile apps on the Android platform, develop sophisticated games, build GUI-based programs, and write Python scripts to automate tasks.",Meet Python: Everyone loves list -- Sharing your code: Modules of functions -- Files and exceptions: Dealing with errors -- Persistence: Saving data to files -- Comprehending data: Work that data! -- Custom data objects: Bundling code with data -- Web development: Putting it all together -- Mobile App development: Small devices -- Manage your data: Handling input -- Scaling your Webapp: Getting real -- Dealing with complexity: Data wrangling -- Leftovers: The top ten things (we didn't cover).,,,,Beijing : O'Reilly,c2011,"Includes index.identifier ""A brain-friendly guide""--Cover.",,,,"xxxiv, 457 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052717730206772,1,1
2,2,2,Monty Python and the Holy Grail [蟒蛇劇團與聖杯] ,"White, Michael. identifier Forstater, Mark. identifier Chapman, Graham, 1941-1989. identifier Gilliam, Terry. identifier Jones, Terry, 1942- identifier Cleese, John. identifier Idle, Eric. identifier Palin, Michael. identifier Monty Python (Comedy troupe) identifier Python (Monty) Pictures. identifier Columbia TriStar Home Entertainment (Firm) ",,Grailidentifier Feature filmsidentifier Comedy filmsidentifier Video recordings for the hearing impaired,ISBN : 0767853520 :identifier PUBNUM : 05276,,,Drama.,The quest for the Holy Grail by King Arthur and his Knights of the Round Table is retold in the inimitable Python fashion.,,"Holy Grailidentifier 蟒蛇劇團與聖杯identifier 英西法語發音, 英法西文字幕",,Special ed.,"Burbank, CA : Columbia TriStar Home Entertainment",c2001,Originally released as a motion picture in 1974.identifier Special features listed on container.,,MPAA rating: PG.,"In English, Spanish or French ; subtitles in English, French or Spanish; closed-captioned.","2 videodiscs (89 min.) : sd., col. ; 4 3/4 in. + 1中文字匣",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990005629690206772,1,2
3,3,3,Python 3 object oriented programming : harness the power of Python 3 objects ,"Phillips, Dusty. ",,Python (Computer program language)identifier Object-oriented programming (Computer science)identifier Object-oriented programming languages,ISBN : 9781849511261 (pbk.) :identifier ISBN : 1849511268 (pbk.)identifier OCLC : (OCoLC)694383444,Community experience distilled identifier Community experience distilled. ,,,,Object-oriented design -- Objects in Python -- When objects are alike -- Expecting the unexpected -- When to use object-oriented programming -- Python data structures -- Python object-oriented shortcuts -- Python design patterns I -- Python design patterns II -- Files and strings -- Testing object-oriented programs -- Common Python 3 libraries.,Harness the power of Python 3 objects,,,"Birmingham, UK : Packt Pub.",c2010,"""Open source community experience distilled.""identifier Includes index.",,,,"v, 388 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052717760206772,1,3
4,4,4,Python machine learning ,"Lee, Wei-Meng, author. ",,Machine learningidentifier Python (Computer program language),ISBN : 1119545633identifier ISBN : 9781119545637identifier OCLC : (OCoLC)1042350760,,,,"Python makes machine learning easy for beginners and experienced developers With computing power increasing exponentially and costs decreasing at the same time, there is no better time to learn machine learning using Python. Machine learning tasks that once required enormous processing power are now possible on desktop machines. However, machine learning is not for the faint of heart-it requires a good foundation in statistics, as well as programming knowledge. Python Machine Learning will help coders of all levels master one of the most in-demand programming skillsets in use today. Readers will get started by following fundamental topics such as an introduction to Machine Learning and Data Science. For each learning algorithm, readers will use a real-life scenario to show how Python is used to solve the problem at hand. * Python data science-manipulating data and data visualization * Data cleansing * Understanding Machine learning algorithms * Supervised learning algorithms * Unsupervised learning algorithms * Deploying machine learning models Python Machine Learning is essential reading for students, developers, or anyone with a keen interest in taking their coding skills to the next level.",Introduction to machine learning -- Extending Python using NumPy -- Manipulating tabular data using Pandas -- Data visualization using matplotlib -- Getting started with Scikit-learn for Machine Learning -- Supervised learning : linear regression -- Supervised learning : classification using logistic regression -- Supervised learning : classification using support vector machines -- Supervised learning : classification using K-Nearest Neighbors (KNN) -- Unsupervised learning : clustering using K-Means -- Using Azure Machine Learning Studio -- Deploying machine learning models.,,可獲得的其他形式： : Python machine learning ,,"Indianapolis, IN : Wiley",2019,Includes index.,,,,"xxiv, 296 pages : illustrations ; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990057670640206772,0,4
5,5,5,Python學習手冊 . 第三版 ,"Lutz, Mark, 著 identifier 陳建勳, 譯 identifier 蘇秉豐, 編 ",,Python (Computer program language)identifier Python (電腦程式語言),ISBN : 9789866840302,,,,,,,,中文版第二版,臺北市 : 歐萊禮,2008,"本書譯自: Learning Python, 3ed.identifier 作者號取自譯者(CT)",,,,711面 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990050537590206772,1,5
6,6,6,Effective Python中文版 : 寫出良好Python程式的59個具體做法 ,"Slatkin, Brett, 著 identifier 黃銘偉, 譯 ",,Python(電腦程式語言),ISBN : 9789863477020,,,,,,寫出良好Python程式的59個具體做法identifier 59 specific ways to write better Python,,初版,臺北市 : 碁峰資訊,2015,本書譯自: Effective Python : 59 specific ways to write better Pythonidentifier 含索引identifier 作者號取自譯者(CT),,,,257面 ; 23公分,,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma991003075259706772,1,6
7,7,7,Python scripting for ArcGIS ,"Zandbergen, Paul A., 1968- ",,ArcGISidentifier Geographic information systemsidentifier Graphical user interfaces (Computer systems)identifier Python (Computer program language)identifier TECHNOLOGY & ENGINEERING -- Remote Sensing & Geographic Information Systemsidentifier COMPUTERS -- Programming Languages -- Python,OCLC : (OCoLC)005407464identifier LC : 2012020676identifier ISBN : 9781589482821identifier ISBN : 1589482824identifier OCLC : (OCoLC)795758535,,,,"""Python Scripting for ArcGIS is a guide to help experienced users of ArcGIS for Desktop get started with Python scripting. This book teaches how to write Python code that works with spatial data to automate geoprocessing tasks in ArcGIS. Readers can thus learn the skill set needed to create custom tools. Key topics in this book include Python language fundamentals, automating geoprocessing tasks, exploring and manipulating spatial data, working with geometries and rasters, map scripting, debugging and error handling, creating functions and classes, and creating and sharing script tools""-- Provided by publisher.",pt. 1 Learning the fundamentals of Python and geoprocessing -- ch. 1 Introducing Python -- 1.1. Introduction -- 1.2. Exploring the features of Python -- 1.3.Comparing scripting vs. programming -- 1.4. Using scripting in ArcGIS -- 1.5. Python history and versions -- 1.6. About this book -- 1.7. Exploring how Python is used -- 1.8. Choosing a Python script editor -- Points to remember -- ch. 2 Geoprocessing in ArcGIS -- 2.1. Introduction -- 2.2. What is geoprocessing? -- 2.3.A note on ArcObjects -- 2.4. Using toolboxes and tools -- 2.5. Learning types and categories of tools -- 2.6. Running tools using tool dialog boxes -- 2.7. Specifying environment settings -- 2.8. Using batch processing -- 2.9. Using models and ModelBuilder -- 2.10. Using scripting -- 2.11. Running scripts as tools -- 2.12. Converting a model to a script -- 2.13. Scheduling a Python script to run at prescribed times -- Points to remember -- ch. 3 Using the Python window -- 3.1. Introduction --^ 3.2. Opening the Python window -- 3.3. Writing and running code -- 3.4. Getting assistance -- 3.5. Exploring Python window options -- 3.6. Saving your work -- 3.7. Loading code into the Python window -- Points to remember -- ch. 4 Learning Python language fundamentals -- 4.1. Introduction -- 4.2. Locating Python documentation and resources -- 4.3. Working with data types and structures -- 4.4. Working with numbers -- 4.5. Working with variables and naming -- 4.6. Writing statements and expressions -- 4.7. Using strings -- 4.8. Using lists -- 4.9. Working with Python objects -- 4.10. Using functions -- 4.11. Using methods -- 4.12. Working with strings -- 4.13. Working with lists -- 4.14. Working with paths -- 4.15. Working with modules -- 4.16. Controlling workflow using conditional statements -- 4.17. Controlling workflow using loop structures -- 4.18. Getting user input -- 4.19.Commenting scripts -- 4.20. Working with code in the PythonWin editor --^ 4.21. Following coding guidelines -- Points to remember -- pt. 2 Writing scripts -- ch. 5 Geoprocessing using Python -- 5.1. Introduction -- 5.2. Using the ArcPy site package -- 5.3. Importing ArcPy -- 5.4. Working with earlier versions of ArcGIS -- 5.5. Using tools -- 5.6. Working with toolboxes -- 5.7. Using functions -- 5.8. Using classes -- 5.9. Using environment settings -- 5.10. Working with tool messages -- 5.11. Working with licenses -- 5.12. Accessing ArcGIS Desktop Help -- Points to remember -- ch. 6 Exploring spatial data -- 6.1. Introduction -- 6.2. Checking for the existence of data -- 6.3. Describing data -- 6.4. Listing data -- 6.5. Using lists in for loops -- 6.6. Working with lists -- 6.7. Working with tuples -- 6.8. Working with dictionaries -- Points to remember -- ch. 7 Manipulating spatial data -- 7.1. Introduction -- 7.2. Using cursors to access data -- 7.3. Using SQL in Python -- 7.4. Working with table and field names -- 7.5. Parsing table and field names --^ 7.6. Working with text files -- Points to remember -- ch. 8 Working with geometries -- 8.1. Introduction -- 8.2. Working with geometry objects -- 8.3. Reading geometries -- 8.4. Working with multipart features -- 8.5. Working with polygons with holes -- 8.6. Writing geometries -- 8.7. Using cursors to set the spatial reference -- 8.8. Using geometry objects to work with geoprocessing tools -- Points to remember -- ch. 9 Working with rasters -- 9.1. Introduction -- 9.2. Listing rasters -- 9.3. Describing raster properties -- 9.4. Working with raster objects -- 9.5. Working with the ArcPy Spatial Analyst module -- 9.6. Using map algebra operators -- 9.7. Using the ApplyEnvironment function -- 9.8. Using classes of the arcpy.sa module -- 9.9. Using raster functions to work with NumPy arrays -- Points to remember -- pt. 3 Carrying out specialized tasks -- ch. 10 Map scripting -- 10.1. Introduction -- 10.2. Working with the ArcPy mapping module -- 10.3. Opening map documents --^ 10.4. Accessing map document properties and methods -- 10.5. Working with data frames -- 10.6. Working with layers -- 10.7. Fixing broken data sources -- 10.8. Working with page layout elements -- 10.9. Exporting maps -- 10.10. Printing maps -- 10.11. Working with PDFs -- 10.12. Creating map books -- 10.13. Using sample mapping scripts -- Points to remember -- ch. 11 Debugging and error handling -- 11.1. Introduction -- 11.2. Recognizing syntax errors -- 11.3. Recognizing exceptions -- 11.4. Using debugging -- 11.5. Using debugging tips and tricks -- 11.6. Error handling for exceptions -- 11.7. Raising exceptions -- 11.8. Handling exceptions -- 11.9. Handling geoprocessing exceptions -- 11.10. Using other error-handling methods -- 11.11. Watching for common errors -- Points to remember -- ch. 12 Creating Python functions and classes -- 12.1. Introduction -- 12.2. Creating functions -- 12.3. Calling functions from other scripts -- 12.4.Organizing code into modules --^ 12.5. Using classes -- 12.6. Working with packages -- Points to remember -- pt. 4 Creating and using script tools -- ch. 13 Creating custom tools -- 13.1. Introduction -- 13.2. Why create your own tools? -- 13.3. Steps to creating a tool -- 13.4. Editing tool code -- 13.5. Exploring tool parameters -- 13.6. Setting tool parameters -- 13.7. Examining an example script tool -- 13.8. Customizing tool behavior -- 13.9. Working with messages -- 13.10. Handling messages for stand-alone scripts and tools -- 13.11. Customizing tool progress information -- 13.12. Running a script in process -- Points to remember -- ch. 14 Sharing tools -- 14.1. Introduction -- 14.2. Choosing a method for distributing tools -- 14.3. Handling licensing issues -- 14.4. Using a standard folder structure for sharing tools -- 14.5. Working with paths -- 14.6. Finding data and workspaces -- 14.7. Creating a geoprocessing package -- 14.8. Embedding scripts and password-protecting tools -- 14.9. Documenting tools --^ 14.10. Example tool: Market analysis -- Points to remember.,,,First edition.,New York : ESRI Press,2013,Includes index.,,,,"a xiv, 353 pages : color illustrations ; 26 cm + 1 computer optical disc (4 3/4 in.)",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990054074640206772,1,7
8,8,8,Python programming : an introduction to computer science ,"Zelle, John M. ",,Python (Computer program language)identifier Programming languages (Electronic computers),OCLC : (OCoLC)005527393identifier LC : 2010013947identifier ISBN : 9781590282410identifier ISBN : 1590282418identifier OCLC : (OCoLC)593639433,,,,"This book is designed to be used as the primary textbook in a college-level first course in computing. It takes a fairly traditional approach, emphasizing problem solving, design, and programming as the core skills of computer science. However, these ideas are illustrated using a non-traditional language, namely Python. Although Python is used as the language, teaching Python is not the main point of this book. Rather, Python is used to illustrate fundamental principles of design and programming that apply in any language or computing environment. In some places, I have purposely avoided certain Python features and idioms that are not generally found in other languages.","1. Computers and programs --- 2. Writing simple programs --- 3. Computing with numbers --- 4. Objects and graphics --- 5. Sequences : strings, lists, and files --- 6. Defining functions --- 7. Decision structures --- 8. Loop structures and Booleans --- 9. Simulation and design --- 10. Defining classes --- 11. Data collections --- 12. Object-oriented design --- 13. Algorithm design and recursion ---- Appendix A : Python quick reference -- Appendix B : Using Python and IDLE -- Appendix C : Glossary.",Introduction to computer science,,Second edition.,"Sherwood, Or. : Franklin, Beedle & Associates",©2010,,,,,"xiv, 514 pages : illustrations; 24 cm",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990055273930206772,1,8
9,9,9,Programming Python ,"Lutz, Mark. ",,Python (Computer program language),ISBN : 9780596158101 (pbk.) :identifier ISBN : 0596158106 (pbk.)identifier OCLC : (OCoLC)624414147identifier OCLC : UST(182486),,,,,,Python,,4th ed.,Beijing : O'Reilly,c2011,"""Powerful object-oriented programming""--Cover.identifier ""Covers Python 3.x""--Cover.identifier Includes index.",,,,"xxxix, 1584 p. : ill. ; 24 cm.",,,,,,,,圖書館目錄,https://nycu.primo.exlibrisgroup.com/permalink/886UST_NYCU/1ek8ru5/alma990052474680206772,1,9
